,콘존ID,방향,grs80x,grs80y,노선번호,노선명
0,0010CZE010,E,391265.163647,297630.026461,0010,경부선
1,0010CZE011,E,391642.593415,298552.164856,0010,경부선
2,0010CZE011,E,391873.608131,299421.834737,0010,경부선
3,0010CZE020,E,391448.581180,300529.001930,0010,경부선
4,0010CZE030,E,391067.929665,300978.024563,0010,경부선
5,0010CZE035,E,390059.302731,301623.740564,0010,경부선
6,0010CZE035,E,389382.829916,302360.556185,0010,경부선
7,0010CZE035,E,388711.868696,303102.642362,0010,경부선
8,0010CZE035,E,388107.547365,303770.101280,0010,경부선
9,0010CZE035,E,387520.440755,304313.835986,0010,경부선
10,0010CZE035,E,386677.031355,305009.684786,0010,경부선
11,0010CZE035,E,385987.400279,305385.561064,0010,경부선
12,0010CZE035,E,385516.200027,306151.498323,0010,경부선
13,0010CZE040,E,385975.658305,307607.915271,0010,경부선
14,0010CZE040,E,385912.249616,308702.151962,0010,경부선
15,0010CZE040,E,386058.046507,309677.401028,0010,경부선
16,0010CZE040,E,386374.129780,310730.572653,0010,경부선
17,0010CZE050,E,386513.673030,311314.243377,0010,경부선
18,0010CZE050,E,386772.880475,312175.763038,0010,경부선
19,0010CZE050,E,386953.864765,313156.791325,0010,경부선
20,0010CZE050,E,387055.149982,313950.678958,0010,경부선
21,0010CZE050,E,387293.114715,314713.332063,0010,경부선
22,0010CZE050,E,387619.817434,315658.473783,0010,경부선
23,0010CZE050,E,387739.201289,316449.425513,0010,경부선
24,0010CZE050,E,388017.495287,317403.582993,0010,경부선
25,0010CZE050,E,388497.962539,318162.126652,0010,경부선
26,0010CZE050,E,388758.687252,319230.267561,0010,경부선
27,0010CZE050,E,388981.697220,319998.804276,0010,경부선
28,0010CZE050,E,389033.470613,320192.076234,0010,경부선
29,0010CZE050,E,389346.029890,321140.601787,0010,경부선
30,0010CZE050,E,389530.182091,321709.591682,0010,경부선
31,0010CZE050,E,389751.524787,322886.774573,0010,경부선
32,0010CZE055,E,389940.679979,323766.840152,0010,경부선
33,0010CZE060,E,390204.755427,324729.992823,0010,경부선
34,0010CZE060,E,390477.025739,325588.127563,0010,경부선
35,0010CZE060,E,390763.691430,326546.621519,0010,경부선
36,0010CZE060,E,390970.718789,327421.129102,0010,경부선
37,0010CZE060,E,391323.963237,328244.173637,0010,경부선
38,0010CZE060,E,392351.397814,330076.738294,0010,경부선
39,0010CZE070,E,392773.255755,331090.697164,0010,경부선
40,0010CZE080,E,393321.093087,333138.780940,0010,경부선
41,0010CZE080,E,393491.149695,334024.178636,0010,경부선
42,0010CZE080,E,393706.313677,334896.527936,0010,경부선
43,0010CZE080,E,394000.017828,335642.137580,0010,경부선
44,0010CZE080,E,394510.415745,336948.445463,0010,경부선
45,0010CZE080,E,395019.211976,337809.117240,0010,경부선
46,0010CZE080,E,395349.714136,338857.195607,0010,경부선
47,0010CZE080,E,395724.495018,339676.577693,0010,경부선
48,0010CZE080,E,395991.838545,340641.885846,0010,경부선
49,0010CZE080,E,396370.037944,341567.336629,0010,경부선
50,0010CZE080,E,396692.515327,342407.580239,0010,경부선
51,0010CZE080,E,397032.516659,343560.154196,0010,경부선
52,0010CZE080,E,397289.154238,344608.095822,0010,경부선
53,0010CZE080,E,397639.257905,345650.857713,0010,경부선
54,0010CZE080,E,397838.078369,346831.627372,0010,경부선
55,0010CZE080,E,398035.548256,347599.269582,0010,경부선
56,0010CZE085,E,398302.727392,348456.390870,0010,경부선
57,0010CZE085,E,398529.252225,349634.475682,0010,경부선
58,0010CZE085,E,398605.635465,350828.785014,0010,경부선
59,0010CZE085,E,398568.923162,352127.500008,0010,경부선
60,0010CZE085,E,398449.775508,353219.486521,0010,경부선
61,0010CZE085,E,398683.039522,354273.182468,0010,경부선
62,0010CZE085,E,398542.248449,355257.811876,0010,경부선
63,0010CZE085,E,398190.395299,356356.648662,0010,경부선
64,0010CZE085,E,398289.015575,357249.239513,0010,경부선
65,0010CZE085,E,397904.461642,358278.896105,0010,경부선
66,0010CZE090,E,397129.288820,359318.980546,0010,경부선
67,0010CZE090,E,396250.243200,359458.477413,0010,경부선
68,0010CZE090,E,395442.044102,360044.752645,0010,경부선
69,0010CZE090,E,394255.744159,359972.058674,0010,경부선
70,0010CZE090,E,393358.791228,360028.809308,0010,경부선
71,0010CZE090,E,392482.273070,360467.544913,0010,경부선
72,0010CZE090,E,391683.670431,361073.728699,0010,경부선
73,0010CZE090,E,390633.434995,361351.421805,0010,경부선
74,0010CZE090,E,389595.177703,361605.008247,0010,경부선
75,0010CZE090,E,388806.474933,362217.881257,0010,경부선
76,0010CZE100,E,388239.159780,363036.011801,0010,경부선
77,0010CZE100,E,387822.985974,364158.766164,0010,경부선
78,0010CZE100,E,387189.088820,364932.978728,0010,경부선
79,0010CZE100,E,386000.732869,365999.301504,0010,경부선
80,0010CZE100,E,385418.702278,366935.183414,0010,경부선
81,0010CZE100,E,384796.148610,367587.124714,0010,경부선
82,0010CZE100,E,383862.643370,367947.760684,0010,경부선
83,0010CZE100,E,382882.865546,367960.229824,0010,경부선
84,0010CZE100,E,381890.500783,368439.918868,0010,경부선
85,0010CZE100,E,381381.379233,369703.041427,0010,경부선
86,0010CZE100,E,381076.609946,370863.794615,0010,경부선
87,0010CZE105,E,380222.400522,371690.423880,0010,경부선
88,0010CZE105,E,379323.970843,372330.169654,0010,경부선
89,0010CZE105,E,378033.528308,372142.808100,0010,경부선
90,0010CZE105,E,376959.710129,371406.224721,0010,경부선
91,0010CZE110,E,375806.758828,371171.921119,0010,경부선
92,0010CZE110,E,375090.811578,370814.479545,0010,경부선
93,0010CZE110,E,374708.418500,370006.956386,0010,경부선
94,0010CZE110,E,374142.686574,369306.383710,0010,경부선
95,0010CZE110,E,373289.984532,368897.966978,0010,경부선
96,0010CZE110,E,372392.895781,368973.668304,0010,경부선
97,0010CZE110,E,371621.948841,368799.208217,0010,경부선
98,0010CZE110,E,370727.042022,368159.992416,0010,경부선
99,0010CZE110,E,369903.446524,367592.357393,0010,경부선
100,0010CZE110,E,368900.836111,367147.198754,0010,경부선
