,0
0,1275
1,1276
2,1277
3,1278
4,1279
5,1280
6,1281
7,1282
8,1283
9,1284
10,1285
11,1286
12,1287
13,1288
14,1289
15,1290
16,1291
17,1292
18,1293
19,1294
20,1295
21,1296
22,1297
23,1298
24,1299
25,1300
26,1301
27,1302
28,1303
29,1304
30,1305
31,1306
32,1307
33,1308
34,1309
35,1310
36,1311
37,1312
38,1313
39,1314
40,1315
41,1316
42,1317
43,1318
44,1319
45,1320
46,1321
47,1322
48,1323
49,1324
50,1325
51,1334
52,1335
53,1336
54,1424
55,1425
56,1426
57,1427
58,1439
59,1440
60,1441
61,1529
62,1530
63,1531
64,1532
65,2095
66,2096
67,2097
68,2098
69,2099
70,2100
71,2101
72,2102
73,2103
74,2104
75,2105
76,2106
77,2107
78,2108
79,2109
80,2110
81,2111
82,2112
83,2113
84,2114
85,2115
86,2116
87,2117
88,2118
89,2119
90,2120
91,2121
92,2122
93,2123
94,2124
95,2125
96,2126
97,2127
98,2128
99,2129
100,2130
101,2131
102,2132
103,2133
104,2134
105,2135
106,2136
107,2137
108,2138
109,2139
110,2140
111,2141
112,2142
113,2143
114,2144
115,2145
116,2146
117,2147
118,2148
119,2149
120,2150
121,2151
122,2152
123,2153
124,2154
125,2155
126,2156
127,2157
128,2158
129,2159
130,2160
131,2161
132,2162
133,2163
134,2164
135,2199
136,2200
137,2201
138,2202
139,2203
140,2204
141,2205
142,2206
143,2207
144,2208
145,2209
146,2210
147,2211
148,2212
149,2213
150,2214
151,2215
152,2216
153,2217
154,2218
155,2219
156,2220
157,2221
158,2222
159,2223
160,2224
161,2225
162,2226
163,2227
164,2228
165,2229
166,2230
167,2231
168,2232
169,2233
170,2256
171,2257
172,2258
173,2259
174,2260
175,2261
176,2262
177,2263
178,2264
179,2265
180,2266
181,2267
182,2268
183,2269
184,2270
185,2271
186,2272
187,2273
188,2274
189,2275
190,2276
191,2277
192,2278
193,2279
194,2280
195,2281
196,2282
197,2283
198,2284
199,2285
200,2286
201,2287
202,2288
203,2289
204,2290
205,2291
206,2292
207,2293
208,2294
209,2295
210,2296
211,2298
212,2334
213,2661
214,2662
215,2663
216,2664
217,2665
218,2666
219,2667
220,2668
221,2669
222,2670
223,2671
224,2672
225,2673
226,2674
227,2675
228,2676
229,2677
230,2678
231,2679
232,2680
233,2681
234,2682
235,2683
236,2684
237,2685
238,2686
239,2687
240,2688
241,2689
242,2690
243,2691
244,2692
245,2693
246,2694
247,2695
248,2696
249,2697
250,2698
251,2699
252,2700
253,2701
254,2702
255,2703
256,2704
257,2705
258,2706
259,2707
260,2708
261,2709
262,2710
263,2711
264,2712
265,2713
266,2714
267,2715
268,2716
269,2717
270,2718
271,2719
272,2720
273,2721
274,2722
275,2723
276,2724
277,2725
278,2726
279,2727
280,2728
281,2729
282,2730
283,2731
284,2732
285,2733
286,2734
287,2735
288,2736
289,2737
290,2738
291,2739
292,2740
293,2741
294,2742
295,2743
296,2744
297,2745
298,2746
299,2747
300,2748
301,2749
302,2750
303,2751
304,2752
305,2753
306,2754
307,2755
308,2756
309,2757
310,2758
311,2759
312,2760
313,2761
314,2762
315,2763
316,2764
317,2765
318,2766
319,2767
320,2768
321,2769
322,2770
323,2771
324,2772
325,2773
326,2774
327,2775
328,2776
329,2777
330,2778
331,2779
332,2780
333,2781
334,2782
335,2783
336,2784
337,2785
338,2786
339,2787
340,2788
341,2789
342,2790
343,2791
344,2792
345,2793
346,2794
347,2795
348,2796
349,2797
350,2798
351,2799
352,2800
353,2801
354,2802
355,2803
356,2804
357,2805
358,2806
359,2807
360,2808
361,2809
362,2810
363,2811
364,2812
365,2813
366,2814
367,2815
368,2816
369,2817
370,2818
371,2819
372,2820
373,2821
374,2822
375,2823
376,2824
377,2825
378,2826
379,2827
380,2828
381,2829
382,2830
383,2831
384,2832
385,2833
386,3013
387,3014
388,3015
389,3016
390,3017
391,3018
392,3019
393,3020
394,3021
395,3022
396,3023
397,3024
398,3025
399,3026
400,3027
401,3028
402,3029
403,3030
404,3031
405,3032
406,3033
407,3034
408,3035
409,3036
410,3037
411,3038
412,3039
413,3040
414,3041
415,3042
416,3043
417,3044
418,3045
419,3046
420,3047
421,3048
422,3049
423,3050
424,3051
425,3052
426,3053
427,3054
428,3055
429,3056
430,3057
431,3058
432,3059
433,3060
434,3061
435,3062
436,3063
437,3064
438,3065
439,3066
440,3067
441,3068
442,3069
443,3070
444,3071
445,3072
446,3073
447,3074
448,3075
449,3076
450,3077
451,3078
452,3079
453,3080
454,3081
455,3082
456,3083
457,3084
458,3085
459,3086
460,3087
461,3088
462,3089
463,3090
464,3091
465,3092
466,3093
467,3094
468,3095
469,3096
470,3097
471,3098
472,3099
473,3100
474,3101
475,3102
476,3202
477,3302
478,3413
479,3414
480,3415
481,3416
482,3417
483,3418
484,3419
485,3420
486,3421
487,3422
488,3423
489,3424
490,3425
491,3426
492,3427
493,3428
494,3429
495,3430
496,5196
497,5197
498,5198
499,5199
500,5200
501,5201
502,5202
503,5203
504,5204
505,5205
506,5206
507,5207
508,5208
509,5209
510,5210
511,5211
512,5212
513,5213
514,5214
515,5215
516,5216
517,5217
518,5218
519,5219
520,5220
521,5221
522,5222
523,5223
524,5224
525,5225
526,5226
527,5227
528,5228
529,5229
530,5230
531,5231
532,5232
533,5233
534,5234
535,5235
536,5236
537,5237
538,5238
539,5239
540,5240
541,5241
542,5242
543,5243
544,5244
545,5245
546,5246
547,5247
548,5248
549,5249
550,5250
551,5251
552,5252
553,5253
554,5254
555,5255
556,5256
557,5257
558,5258
559,5259
560,5260
561,5261
562,5262
563,5263
564,5264
565,5265
566,5266
567,5267
568,5268
569,5269
570,5270
571,5271
572,5272
573,5273
574,5274
575,5275
576,5276
577,5277
578,5278
579,5279
580,5280
581,5281
582,5282
583,5283
584,5284
585,5285
586,5286
587,5287
588,5288
589,5289
590,5290
591,5291
592,5292
593,5293
594,5294
595,5295
596,5296
597,5297
598,5298
599,5299
600,5300
601,5301
602,5302
603,5303
604,5304
605,5305
606,5306
607,5307
608,5308
609,5309
610,5310
611,5311
612,5312
613,5313
614,5314
615,5315
616,5316
617,5317
618,5318
619,5319
620,5321
621,5498
622,5678
623,5679
624,5680
625,5681
626,5682
627,5683
628,5684
629,5685
630,5686
631,5687
632,5688
633,5689
634,5690
635,5691
636,5692
637,5693
638,5694
639,5695
640,5696
641,5697
642,5698
643,5699
644,5700
645,5701
646,5702
647,5703
648,5704
649,5705
650,5706
651,5707
652,5708
653,5709
654,5710
655,5711
656,5712
657,5713
658,5714
659,5715
660,5716
661,5717
662,5718
663,5719
664,5720
665,5721
666,5722
667,5723
668,5724
669,5725
670,5726
671,5727
672,5728
673,5729
674,5730
675,5731
676,5732
677,5733
678,5734
679,5735
680,5736
681,5737
682,5738
683,5739
684,5740
685,5741
686,5742
687,5743
688,5744
689,5745
690,5746
691,5747
692,5748
693,5749
694,5750
695,5751
696,5752
697,5753
698,5754
699,5755
700,5756
701,5757
702,5758
703,5759
704,5760
705,5761
706,5762
707,5763
708,5764
709,5765
710,5766
711,5767
712,5768
713,5769
714,5770
715,5771
716,5772
717,5773
718,5774
719,5775
720,5776
721,5777
722,5778
723,5779
724,5780
725,5781
726,5782
727,5783
728,5784
729,5785
730,5786
731,5787
732,5788
733,5789
734,5790
735,5791
736,5792
737,5793
738,5794
739,5795
740,5796
741,5797
742,5798
743,5799
744,5800
745,5801
746,5802
747,5803
748,5804
749,5805
750,5806
751,5807
752,5808
753,5809
754,5810
755,5811
756,5812
757,5813
758,5814
759,5815
760,5816
761,5817
762,5818
763,5819
764,5820
765,5821
766,5822
767,5823
768,5824
769,5825
770,5826
771,5827
772,5828
773,5829
774,5830
775,5831
776,5832
777,5833
778,5834
779,5835
780,5836
781,5837
782,5838
783,5839
784,5840
785,5841
786,5842
787,5843
788,5844
789,5845
790,5846
791,5847
792,5848
793,5849
794,5850
795,5851
796,5852
797,5853
798,5854
799,5855
800,5856
801,5857
802,5858
803,5859
804,5860
805,5861
806,5862
807,5863
808,5864
809,5865
810,5866
811,5867
812,5868
813,5869
814,5870
815,5871
816,5872
817,5873
818,5874
819,5875
820,5876
821,5877
822,5878
823,5879
824,6342
825,6343
826,6344
827,6345
828,6346
829,6347
830,6348
831,6349
832,6350
833,6351
834,6352
835,6353
836,6354
837,6355
838,6356
839,6357
