,IC/JCT코드,IC/JCT명,노선명,노선코드,X좌표값,Y좌표값
0,0100I00013,진주IC,남해선(순천-부산),0100,128.118649,35.162711
1,0100I00015,진성IC,남해선(순천-부산),0100,128.225744,35.191538
2,0100I00019,함안IC,남해선(순천-부산),0100,128.405556,35.286523
3,0100I00024,창원JCT,남해선(순천-부산),0100,128.637824,35.273797
4,0100I00025,동창원IC,남해선(순천-부산),0100,128.699866,35.279051
5,0100I00027,냉정JCT,남해선(순천-부산),0100,128.795198,35.218306
6,0100I00028,서김해IC,남해선(순천-부산),0100,128.844781,35.217940
7,0100I00029,동김해IC,남해선(순천-부산),0100,128.905845,35.225962
8,0100I00030,대저JCT,남해선(순천-부산),0100,128.974553,35.219575
9,0120I00001,고서JCT,광주대구선,0120,126.959961,35.224518
10,0120I00002,담양IC,광주대구선,0120,126.979942,35.296136
11,0120I00006,지리산IC,광주대구선,0120,127.586409,35.483324
12,0150I00009,부안IC,서해안선,0150,126.771937,35.728071
13,0150I00013,서천IC,서해안선,0150,126.688931,36.097115
14,0150I00014,춘장대IC,서해안선,0150,126.600888,36.168235
15,0150I00018,해미IC,서해안선,0150,126.561181,36.711482
16,0150I00019,서산IC,서해안선,0150,126.572332,36.807331
17,0150I00021,송악IC,서해안선,0150,126.779978,36.936324
18,0150I00023,서평택JCT,서해안선,0150,126.889567,37.059373
19,0150I00025,비봉IC,서해안선,0150,126.881515,37.242610
20,0150I00029,조남JCT,서해안선,0150,126.867625,37.369663
21,0207I00001,청통와촌IC,대구포항선,0200,128.830014,35.966299
22,0207I00002,북영천IC,대구포항선,0200,128.915924,36.032405
23,0250I00004,곡성IC,호남선,0251,127.221812,35.226947
24,0250I00005,옥과IC,호남선,0251,127.115324,35.260435
25,0250I00008,동광주IC,호남선,0251,126.926608,35.183864
26,0250I00010,서광주IC,호남선,0251,126.883868,35.184507
27,0250I00011,광산IC,호남선,0251,126.828451,35.217424
28,0250I00012,장성IC,호남선,0251,126.787261,35.285536
29,0650I00022,온양IC,부산울산선,0651,129.261065,35.417932
30,0650J00028,울산JCT,부산울산선,0651,129.246176,35.557961
31,0650I00023,청량IC,부산울산선,0651,129.282043,35.478662
32,4110I00003,오성IC,평택화성선,0170,126.990435,37.013449
33,0250I00021,삼례IC,호남선,0251,127.079335,35.926080
34,0250I99901,연무IC,호남선,0251,127.059888,36.146702
35,0250I99902,서논산IC,호남선,0251,127.054835,36.224199
36,0250I99908,남천안IC,호남선,0251,127.164906,36.752674
37,0350I00015,산내JCT,통영대전선,0351,127.451669,36.283566
38,0350I00018,서청주IC,중부선,0352,127.420593,36.651698
39,0350I00023,일죽IC,중부선,0352,127.450978,37.091359
40,0350I00028,광주IC,중부선,0352,127.270254,37.447685
41,0350I00031,하남JCT,중부선,0352,127.196214,37.530654
42,0400I00003,송탄IC,평택제천선,0400,127.108221,37.038849
