,LINK_ID,F_NODE,T_NODE,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
97,1540099700,1540004400,1540033200,0,3.0,101,경부고속도로진출로,0,101,50.0,0,0.0,0.0,,,5,27000,154,000,1,RO2700005900000,,,RN2700021800000,405.840754146
10014,1510043600,1510018700,1510018300,0,1.0,101,경부고속도로진출로,0,101,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,20,RO2700000100000,nodelinkmanager2019011613,RN2700020000000,RN2700021000000,578.575249607
10015,1510043800,1510003100,1510002800,0,1.0,101,경부고속도로진출로,0,101,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,1,RO2700000300000,nodelinkmanager2019011613,,,1352.45571267
10016,1510044000,1510017500,1510002800,0,2.0,101,경부고속도로진출로,0,101,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,1,RO2700000500000,nodelinkmanager2019011613,RN2700025900000,,1210.31353784
10025,1540100100,1540033200,1540032900,0,2.0,101,경부고속도로진출로,0,101,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,1,RO2700006300000,nodelinkmanager2019011613,RN2700021800000,RN2700022000000,236.933109693
10026,1510052400,1510018500,1510018600,0,1.0,101,경부고속도로진출로,0,101,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,20,RO2700006700000,nodelinkmanager2019011613,RN2700021600000,RN2700021700000,475.771027683
10028,1540094400,1540033300,1540004600,0,1.0,101,경부고속도로진출로,0,101,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,1,RO2700005000000,nodelinkmanager2019011613,RN2700021900000,,428.446343057
10029,1540094500,1540033200,1540033300,0,1.0,101,경부고속도로진출로,0,101,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,1,RO2700005100000,nodelinkmanager2019011613,RN2700021800000,RN2700021900000,113.269192942
10049,1510043700,1510018100,1510004700,0,1.0,101,경부고속도로진출로,0,101,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,20,RO2700000200000,nodelinkmanager2019011617,RN2700027700000,,847.335369241
88,1540094200,1540033200,1540004400,0,3.0,101,경부고속도로진입로,0,101,50.0,0,0.0,0.0,,,5,27000,154,000,1,RO2700004800000,,RN2700021800000,,408.090606992
89,1540094300,1540033300,1540033200,0,3.0,101,경부고속도로진입로,0,101,50.0,0,0.0,0.0,,,5,27000,154,000,1,RO2700004900000,,RN2700021900000,RN2700021800000,119.592474206
10017,1510044100,1510002800,1510003100,0,1.0,101,경부고속도로진입로,0,101,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,1,RO2700000600000,nodelinkmanager2019011613,,,1101.9796723
10018,1540099900,1540033400,1540033300,0,1.0,101,경부고속도로진입로,0,101,60.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,1,RO2700006100000,nodelinkmanager2019011613,RN2700025000000,RN2700021900000,217.01501562
10019,1540100000,1540032900,1540033300,0,1.0,101,경부고속도로진입로,0,101,60.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,1,RO2700006200000,nodelinkmanager2019011613,RN2700022000000,RN2700021900000,456.301514626
10020,1510052800,1510018400,1510018500,0,1.0,101,경부고속도로진입로,0,101,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,20,RO2700007100000,nodelinkmanager2019011613,RN2700019900000,RN2700021600000,535.784117154
10021,1510052900,1510004700,1510018700,0,1.0,101,경부고속도로진입로,0,101,100.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,20,RO2700007200000,nodelinkmanager2019011613,,RN2700020000000,1137.93915463
10022,1510053200,1510018300,1510018100,0,1.0,101,경부고속도로진입로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,20,RO2700007500000,nodelinkmanager2019011613,RN2700021000000,RN2700027700000,1062.34546052
10027,1510052500,1510018300,1510018700,0,1.0,101,경부고속도로진입로,0,101,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,20,RO2700006800000,nodelinkmanager2019011613,RN2700021000000,RN2700020000000,1710.97411232
10030,1510044400,1510002800,1510017500,0,1.0,101,경부고속도로진입로,0,101,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,1,RO2700000900000,nodelinkmanager2019011613,,RN2700025900000,1383.32957196
68,3530047900,3530017600,3530022100,0,1.0,101,경부고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,353,000,14,TEMP273,,,20080723125,931.860258451
69,3530048000,3530017000,3530022100,0,1.0,101,경부고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,353,000,14,TEMP271,,,20080723125,1570.81599152
90,1540096900,1540004900,1540004800,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,154,000,1,RO2700120100000,,,,2194.67274427
91,1510047200,1510018700,1510004600,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700120200000,,RN2700020000000,,2106.60683852
92,1510047300,1510004600,1540004900,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700120300000,,,,260.070422635
93,1510043900,1510003100,1510017500,0,2.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700000400000,,,RN2700025900000,1357.8144749
94,1510044200,1510017500,1510003100,0,3.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700000700000,,RN2700025900000,,1356.93945506
95,1510051900,1510018500,1510018700,0,2.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700003400000,,RN2700021600000,RN2700020000000,728.41845873
96,1510052000,1510018500,1510018100,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700003500000,,RN2700021600000,RN2700027700000,427.843937327
98,1510053000,1510018100,1510018500,0,2.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700007300000,,RN2700027700000,RN2700021600000,424.339146067
99,1510053100,1510018700,1510018500,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700007400000,,RN2700020000000,RN2700021600000,719.825352305
100,1540096400,1540004300,1540004500,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,154,000,1,RO2700119400000,,,,1583.31025449
101,1540096500,1540004500,1540004800,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,154,000,1,RO2700119500000,,,,602.716775877
102,1540096600,1540004800,1540004900,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,154,000,1,RO2700119600000,,,,2190.92673112
103,1510047000,1540004900,1510004600,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700119700000,,,,259.771189734
104,1510047100,1510004600,1510018700,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700119800000,,,RN2700020000000,2101.34769805
105,1540096700,1540004500,1540004300,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,154,000,1,RO2700119900000,,,,1583.69892607
106,1540096800,1540004800,1540004500,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,154,000,1,RO2700120000000,,,,603.092810197
107,1510044300,1510017500,1510018100,0,2.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700000800000,,RN2700025900000,RN2700027700000,2872.20675115
108,1510044500,1510018100,1510017500,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700001000000,,RN2700027700000,RN2700025900000,2866.05565902
306,2790031900,2740088100,2740088200,0,1.0,101,경부고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,274,000,14,TEMP278,,20080723002,20080723123,645.597413824
307,2790032000,2740088300,2740088200,0,1.0,101,경부고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,274,000,14,TEMP279,,20080723001,20080723123,1339.20307718
308,2740223200,2740088300,2740088100,0,2.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,51110,274,000,14,TEMP276,,20080723001,20080723002,980.892468068
