,LINK_ID,F_NODE,T_NODE,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
68,3530047900,3530017600,3530022100,0,1.0,101,경부고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,353,000,14,TEMP273,,,20080723125,931.860258451
69,3530048000,3530017000,3530022100,0,1.0,101,경부고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,353,000,14,TEMP271,,,20080723125,1570.81599152
90,1540096900,1540004900,1540004800,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,154,000,1,RO2700120100000,,,,2194.67274427
91,1510047200,1510018700,1510004600,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700120200000,,RN2700020000000,,2106.60683852
92,1510047300,1510004600,1540004900,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700120300000,,,,260.070422635
93,1510043900,1510003100,1510017500,0,2.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700000400000,,,RN2700025900000,1357.8144749
94,1510044200,1510017500,1510003100,0,3.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700000700000,,RN2700025900000,,1356.93945506
95,1510051900,1510018500,1510018700,0,2.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700003400000,,RN2700021600000,RN2700020000000,728.41845873
96,1510052000,1510018500,1510018100,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700003500000,,RN2700021600000,RN2700027700000,427.843937327
98,1510053000,1510018100,1510018500,0,2.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700007300000,,RN2700027700000,RN2700021600000,424.339146067
99,1510053100,1510018700,1510018500,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700007400000,,RN2700020000000,RN2700021600000,719.825352305
100,1540096400,1540004300,1540004500,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,154,000,1,RO2700119400000,,,,1583.31025449
101,1540096500,1540004500,1540004800,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,154,000,1,RO2700119500000,,,,602.716775877
102,1540096600,1540004800,1540004900,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,154,000,1,RO2700119600000,,,,2190.92673112
103,1510047000,1540004900,1510004600,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700119700000,,,,259.771189734
104,1510047100,1510004600,1510018700,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700119800000,,,RN2700020000000,2101.34769805
105,1540096700,1540004500,1540004300,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,154,000,1,RO2700119900000,,,,1583.69892607
106,1540096800,1540004800,1540004500,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,154,000,1,RO2700120000000,,,,603.092810197
107,1510044300,1510017500,1510018100,0,2.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700000800000,,RN2700025900000,RN2700027700000,2872.20675115
108,1510044500,1510018100,1510017500,0,4.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,27000,151,000,1,RO2700001000000,,RN2700027700000,RN2700025900000,2866.05565902
306,2790031900,2740088100,2740088200,0,1.0,101,경부고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,274,000,14,TEMP278,,20080723002,20080723123,645.597413824
307,2790032000,2740088300,2740088200,0,1.0,101,경부고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,274,000,14,TEMP279,,20080723001,20080723123,1339.20307718
308,2740223200,2740088300,2740088100,0,2.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,51110,274,000,14,TEMP276,,20080723001,20080723002,980.892468068
309,2740223500,2740088100,2740088300,0,2.0,101,경부고속도로,0,000,100.0,5,0.0,0.0,,,5,51110,274,000,14,TEMP277,,20080723002,20080723001,982.426014628
411,1870005400,1870002600,1870002700,0,2.0,101,경부고속도로,0,101,60.0,5,0.0,0.0,,,5,50130,187,000,1,,,,,198.617821426
412,1870005300,1870002700,1870002600,0,2.0,101,경부고속도로,0,101,60.0,5,0.0,0.0,,,5,50130,187,000,1,,,,,196.522161696
413,1870005200,1870002600,1870002500,0,2.0,101,경부고속도로,0,101,60.0,5,0.0,0.0,,,5,50130,187,000,1,,,,,295.602972063
414,1870005100,1870002500,1870002600,0,2.0,101,경부고속도로,0,101,60.0,5,0.0,0.0,,,5,50130,187,000,1,,,,,296.361954759
803,1960231100,1960086400,1960086300,0,1.0,101,경부고속도로,0,101,50.0,0,0.0,0.0,,,5,31000,196,000,1,20111125025800,,20111125030000,20111125030500,588.414219785
804,1960231200,1960086600,1960086400,0,1.0,101,경부고속도로,0,101,50.0,0,0.0,0.0,,,5,31000,196,000,1,20111125025900,,20120402010500,20111125030000,564.2048441
805,1960231300,1960086300,1960086400,0,1.0,101,경부고속도로,0,101,50.0,0,0.0,0.0,,,5,31000,196,000,1,20111125030000,,20111125030500,20111125030000,282.878616282
806,1960231400,1960086400,1960010501,0,1.0,101,경부고속도로,0,101,50.0,0,0.0,0.0,,,5,31000,196,000,1,20111125030100,,20111125030000,,340.890039085
