지점,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
90,2017-07-15 0:00,28.8,0,,,0.9,0,110,0,64,0,25.3,21.3,1003.7,0,1005.7,0,,9,,,,,,,,2000,,,26.7,0,,,,
90,2017-07-15 1:00,27.6,0,,,0.6,0,270,0,67,0,24.7,20.9,1004,0,1006,0,,9,,,,,,,,1987,,,26.3,0,,,,
90,2017-07-15 2:00,26.2,0,,,0.6,0,340,0,75,0,25.5,21.4,1004.1,0,1006.1,0,,9,,,,,,,,2000,,,26.1,0,,,,
90,2017-07-15 3:00,25.2,0,,,0.3,0,0,0,81,0,25.8,21.6,1004.2,0,1006.3,0,,9,,,,,,,,2000,,,25.8,0,,,,
90,2017-07-15 4:00,25.8,0,,,1.2,0,290,0,77,0,25.5,21.4,1004.3,0,1006.4,0,,9,,,,,,,,2000,,,25.9,0,,,,
90,2017-07-15 5:00,26.9,0,0,0,0.3,0,0,0,75,0,26.4,22,1004.7,0,1006.7,0,,9,,,,,,,,2000,,,26,0,,,,
90,2017-07-15 6:00,27.4,0,0,0,0.8,0,270,0,73,0,26.6,22.1,1004.8,0,1006.8,0,0,0,,,,,,,,2000,,,26.2,0,,,,
90,2017-07-15 7:00,27.2,0,,9,0,0,0,0,75,0,26.9,22.3,1004.8,0,1006.8,0,0,0,,,,,,,,2000,,,26.9,0,,,,
90,2017-07-15 8:00,27.1,0,,9,1.5,0,160,0,76,0,27.1,22.4,1004.8,0,1006.8,0,0.5,0,,,,,,,,2000,,,27.8,0,,,,
90,2017-07-15 9:00,25.6,0,,9,1.9,0,140,0,77,0,25.2,21.2,1004.9,0,1007,0,0.3,0,,,,,,,,2000,,,28.8,0,,,,
90,2017-07-15 10:00,27.2,0,0,0,1.5,0,250,0,76,0,27.2,22.5,1005.2,0,1007.2,0,0,0,,,,,,,,1747,,,28,0,,,,
90,2017-07-15 11:00,27.4,0,0.6,0,0.1,0,0,0,82,0,29.8,24,1005.2,0,1007.2,0,0,0,,,,,,,,2000,,,28.7,0,,,,
90,2017-07-15 12:00,29.8,0,,9,1.6,0,270,0,62,0,26,21.7,1004.9,0,1006.9,0,0.3,0,,,,,,,,2000,,,29.6,0,,,,
